series,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12
S,75606.84316577486,75603.84372436385,75599.966079818,75594.95503109897,75588.48250427638,75580.12759890038,75569.35173669655,75555.46808677833,75537.60456567565,75514.66006664395,75485.25430803577,75447.67299932633,75399.81212581559,75339.1282253938,75262.60555419192,75166.75554110488,75047.66765996112,74901.13153422157,74722.84469517953,74508.7063403153,74255.17481069686,73959.64055423003,73620.74750306686,73238.59542893076,72814.77874576744,72352.25650039426,71855.0880158973,71328.09338606626,70776.50146359559,70205.6344000298,69620.65682324868,69026.3981095044,68427.24252493342,67827.07494465954,67229.26789305445,66636.69673289794,66051.77226823848,65476.48273165249,64912.43954729214,64360.92319359369,63822.92692215309,63299.19709416637,62790.269568163676,62296.502001997374,61818.10219135225,61355.15271183427,60907.63220186211,60475.433646851096,60058.38002025549,59656.23761623865,59268.72737997704,58895.53450979985,58536.31657347828,58190.71035068559,57858.3375858139,57538.809810314735,57231.732371581435,56936.70778599314,56653.338516882155,56381.22926361778,56119.988835460994,55869.231673084716,55628.579071440276,55397.660149772324,55176.11260785417,54963.583301769926,54759.72866766623,54564.21501771199,54376.718728933614,54196.926342545456,54024.53458879318,53859.2503501058,53700.79057345384,53548.882141189344,53403.261708256556,53263.675512476926,53129.879163597754,53001.6374159265,52878.72392863058,52760.92101714707,52648.01939860366,52539.81793368662,52436.12336699407,52336.75006757232,52241.51977104219,52150.26132447353,52062.810434954015,51979.00942261708,51898.706978739596,51821.75792938864
I,8.0,10.349149687549135,13.385548435061338,17.308533233917903,22.374110568101454,28.91030357883086,37.33614939014707,48.18487569157959,62.13161856198684,80.02565792917517,102.92641366035636,132.14119800368252,169.26078059065935,216.186070421858,275.13574008335684,348.6209413448053,439.37065839082805,550.1918962949602,683.7555807774528,842.3138612604057,1027.3766743120075,1239.3991122559946,1477.5457903234478,1739.5933896491838,2022.0046748778195,2320.165307141776,2628.7357546015833,2942.0497463844863,3254.492843844378,3560.8136873580297,3856.3453054294187,4137.135339807324,4399.997815588635,4642.505125521684,4862.9393447198945,5060.219353930495,5233.81647299477,5383.667567767547,5510.091444479382,5613.711940445111,5695.389410289553,5756.1611638509785,5797.190694383212,5819.725119563726,5825.060045449585,5814.51098293969,5789.390446889041,5750.989915462574,5700.565899091089,5639.329450204602,5568.438528048517,5488.992712301344,5402.029832254054,5308.5241438207795,5209.385744377104,5105.460965640329,4997.53352807208,4886.32627728196,4772.503354361744,4656.672678684324,4539.388644113809,4421.15494838471,4302.427491144638,4183.617289276936,4065.093369026607,3947.185603488748,3830.1874714779815,3714.358719931146,3599.927917017173,3487.0948872184854,3376.033022960306,3266.8914700271525,3159.7971861283463,3054.856873648264,2952.1587889193775,2851.774431351651,2753.7601164948846,2658.15843764671,2564.999620986214,2474.302779443523,2386.0770706356484,2300.322764230694,2217.032224064543,2136.190810241674,2057.77770631743,1981.7666764933233,1908.1267575683755,1836.822890185015,1767.8164936934722,1701.0659887384495
IH,516.0,209.67364331735558,85.4836193520603,35.218187742262586,14.981209381444518,6.97320233998289,3.985608490952706,3.1105034531592484,3.1894012882641607,3.779281757400345,4.734372063358054,6.037905461693159,7.7353717697814535,9.908858088777475,12.667705495169308,16.145023203886563,20.49526290413504,25.890248738206218,32.51197410710081,40.541115151177735,50.14106251446178,61.43850518411956,74.50304763029341,89.32951467427202,105.82687386664568,123.81670173323008,143.04203401317113,163.18503283557976,183.89009287667972,204.78835893536387,225.520123176687,245.75276459783223,265.19323650676705,283.59520379760124,300.76161808744837,316.543815100095,330.8382333835381,343.58170835297165,354.7460872473215,364.33270006173973,372.36703989992566,378.89386411380804,383.97282423391664,387.67466205483436,390.07796393565786,391.2664384996617,391.32666878989426,390.34628422906644,388.4124973137492,385.610952674159,382.02484049929177,377.734231424767,372.8155952254959,367.34147070486387,361.3802588412399,354.9961154560582,348.24892338188135,341.1943273464171,333.88381758195067,326.3648505610758,318.68099729405037,310.8721113450132,302.9745101753829,295.02116464095536,287.0418924883515,279.0635525462292,271.1102370128782,263.203459826712,255.36233958882607,247.6037759034864,239.9426183269738,232.3918273793767,224.9626272876181,217.66465029960517,210.50607254597026,203.49374153337672,196.63329543680382,189.929274421797,183.38522427490915,177.0037926544148,170.78681829632916,164.73541352487499,158.85004042353734,153.13058102416457,147.57640186841186,142.18641328916664,136.95912375026452,131.89268957147618,126.98496035296947,122.23352039968485
IN,0.3302917234616445,0.6168481341380355,0.9624484956502438,1.3876486353172581,1.9185124169284713,2.588222081573995,3.4391089866719167,4.5251997787474565,5.915382295971517,7.697296631237963,9.982041851443826,12.909745631667777,16.655955055593022,21.43864953647746,27.525426732717452,35.2400517231331,44.96709507489156,57.1528748641671,72.30050163615556,90.95674004047271,113.68893861488718,141.05166084099724,173.5448272767204,211.56767181718527,255.3747711450765,305.04095243126477,360.4406249248502,421.24437747643685,486.9324773523872,556.8222114836867,630.1044576254345,705.8845500463632,783.2231105557807,861.1736103275164,938.8146270653903,1015.2758208186815,1089.7574614082466,1161.543886947994,1230.0115927589027,1294.632797414724,1354.9753612798097,1410.6998871421115,1461.5547456550914,1507.3696632936594,1548.0484022454173,1583.5609589451444,1613.93561552082,1639.2510982443953,1659.6290294804842,1675.2268039406235,1686.2309751165621,1692.8512022139112,1695.314780341666,1693.8617558130086,1688.7406129848416,1680.2045080617345,1668.5080178183277,1653.9043664982466,1636.6430916009338,1616.968108356867,1595.1161329997278,1571.3154261367,1545.7848193294467,1518.732990219524,1490.3579540008443,1460.846741634064,1430.375237819821,1399.1081543305827,1367.1991167949338,1334.790845399274,1302.01541219795,1268.994559790877,1235.840068031843,1202.6541571703199,1169.5299174080037,1136.5517562744603,1103.795856502066,1071.3306382179924,1039.217220280037,1007.509876473722,976.2564830702603,945.4989549285756,915.2736679189176,885.6118659597219,856.540051401565,828.080357870175,800.2509050016522,773.0661347739359,746.5371293651235,720.6719106569539
D,0.01,48.65635668264443,68.4235249767639,76.48256884793392,79.8027946669774,81.21516144044084,81.87256626263282,82.2483130305558,82.54155849653445,82.84224212574566,83.19853725825479,83.6448743746549,84.21410325586733,84.94336227560696,85.8775286417007,87.07178778873308,88.59387414033354,90.52608318982797,92.96690930362868,96.03200443709947,99.85405394864279,104.58114699423442,110.37331644624058,117.39715720005317,125.81877625651084,135.7956984517164,147.46862759083132,160.95404194590046,176.3384553423901,193.6748565991412,212.98146038445734,234.24256959214537,257.4111289765874,282.4124560559151,309.14864488813475,337.50321262055974,367.34566094428897,398.53572820287724,430.92719784274345,464.3711991838398,498.71898693258845,533.8242191803254,569.544773557352,605.7441513948044,642.2925232691127,679.0674685552633,715.9544583327876,752.8471263742299,789.6473677935169,826.265299739876,862.6191135858478,898.6348435326673,934.2460725116088,969.393592709655,1004.0250349736782,1038.0944787133242,1071.5620516850852,1104.393527152492,1136.5599243350282,1168.0371167393976,1198.805451873258,1228.8493849398226,1258.1571283723347,1286.7203184648563,1314.53369986806,1341.594828327071,1367.9037917268572,1393.4629492657036,1418.2766883874795,1442.351198959093,1465.6942640726018,1488.3150667751243,1510.2240119782807,1531.4325627676185,1551.9530903173813,1571.798736613765,1590.9832891977155,1609.5210671541158,1627.4268175959735,1644.715621918462,1661.4028111270811,1677.5038895757966,1693.0344664839245,1708.0101946341103,1722.4467156874477,1736.3596115851842,1749.764361539236,1762.676304145627,1775.1106041857963,1787.082223710335
R,0.0,258.04373531278526,362.9622364207837,405.8314879399088,423.62432618848186,431.36896915711606,435.198287671366,437.6464787659535,439.8009311799286,442.1789124108318,445.08778462914853,448.77673470030425,453.5051210108409,459.57829178181623,467.37150235346945,477.35011233289185,490.08890702702627,506.2908201896162,526.8037964944675,552.6333962938886,584.9479174114795,625.072477992951,674.4689727547707,734.7002952268812,807.37961558484,894.1082973460868,996.408400470588,1115.6568727896624,1253.0281244869052,1409.449943092314,1585.5752876336603,1781.7701239502633,1998.1156409371415,2234.4221171360696,2490.2513296830057,2764.9445221305605,3057.653360529002,3367.3718345744473,3692.9675878778376,4033.2116267992214,4386.805736943359,4752.4072290447375,5128.650851505077,5514.167859193923,5907.6023312462985,6307.624896724289,6712.944066103671,7122.315386336963,7534.5486435639905,7948.51333470041,8363.142620271063,8777.43595822578,9190.460603687212,9601.35214376442,10009.314220507558,10413.61757931214,10813.598564959513,11208.657173226069,11598.254752736513,11981.911439538882,12359.203395756484,12729.759913607357,13093.260437036237,13449.431545123716,13798.043934260275,14138.909429732268,14471.878051794538,14796.835156432173,15113.698666776283,15422.416407472518,15722.963551147295,16015.340183419978,16299.568990618376,16575.693072423157,16843.773880051016,17103.889279248124,17356.13173626908,17600.606624131186,17837.430645730594,18066.730369861114,18288.640875765326,18503.304501551745,18710.869691613316,18911.489938066316,19105.32281118126,19292.52907378692,19473.271874684757,19647.716016205173,19816.02729116135,19978.371884604247
G,8.0,10.999441411010778,14.87708595685784,19.888134675878824,26.360661498472076,34.715566874482995,45.49142907830886,59.3750789965339,77.23860009922394,100.18309913092926,129.58885773909986,167.17016644854095,215.0310399592804,275.7149403810744,352.237611582952,448.08762466998814,567.1755058137527,713.711631553316,891.9984705953436,1106.1368254595825,1359.668355078017,1655.2026115448352,1994.0956627080113,2376.247736844114,2800.064420007431,3262.5866653806124,3759.7551498775624,4286.749779708604,4838.341702179279,5409.208765745075,5994.186342526197,6588.445056270468,7187.6006408414505,7787.768221115325,8385.575272720413,8978.14643287693,9563.070897536385,10138.360434122376,10702.403618482726,11253.919972181175,11791.916243621774,12315.646071608498,12824.573597611186,13318.341163777484,13796.740974422608,14259.690453940584,14707.21096391275,15139.409518923765,15556.463145519367,15958.605549536209,16346.11578579782,16719.308655975008,17078.526592296574,17424.132815089262,17756.505579960958,18076.03335546012,18383.11079419342,18678.135379781717,18961.504648892704,19233.61390215708,19494.854330313865,19745.61149269014,19986.264094334576,20217.183016002524,20438.730557920673,20651.259864004915,20855.11449810861,21050.628148062853,21238.12443684123,21417.91682322939,21590.30857698166,21755.592815669042,21914.052592321,22065.9610245855,22211.581457518285,22351.16765329791,22484.964002177083,22613.205749848334,22736.119237144263,22853.92214862777,22966.82376717118,23075.02523208822,23178.719798780774,23278.09309820252,23373.323394732648,23464.581841301304,23552.032730820818,23635.83374315776,23716.136187035245,23793.085236386203
H,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534,37824.237925815534
beta,7.855286241871167,7.855286241871167,7.8504070482013715,7.844108256693985,7.835983334880136,7.825513647871154,7.8120403983705184,7.794731431419142,7.77254326363315,7.74417980898473,7.708051130382167,7.6622384060930475,7.604475331898931,7.532161234966462,7.442426388149603,7.332273270126306,7.198815053222913,7.039619385169057,6.853137432636548,6.639156481229696,6.399171214691671,6.136547876909177,5.8563822481577335,5.565033379521339,5.2694224448860805,4.976266835836956,4.691430707279716,4.419513409378104,4.163705408817938,3.9258644351567726,3.7067280500909225,3.5061803534058966,3.3235131041573323,3.1576482977404803,3.007310546908497,2.8711507815233723,2.747829025243601,2.6360657268224457,2.5346704569332976,2.4425551670855454,2.358737443738271,2.2823376400445765,2.2125725429138607,2.1487473271053696,2.0902469074920766,2.0365273630268175,1.9871078155602424,1.9415629592404842,1.8995163188598059,1.8606342447450341,1.8246206113744192,1.7912121658424915,1.7601744632664431,1.73129832443906,1.704396753394216,1.6793022571051954,1.655864515071024,1.6339483523327305,1.6134319750804818,1.594205433239689,1.5761692791563933,1.559233395708972,1.5433159708661404,1.5283425989244421,1.5142454914370493,1.500962783237778,1.4884379210175125,1.4766191236691972,1.4654589051225702,1.4549136516768344,1.4449432469399568,1.435510738424541,1.4265820406557195,1.4181256703364478,1.4101125097070326,1.4025155947434362,1.3953099252751648,1.3884722944790087,1.381981135528445,1.3758163834577495,1.3699593505411993,1.3643926136966908,1.3590999126042178,1.3540660573869645,1.3492768448395571,1.3447189823071979,1.3403800184233574,1.3362482800045694,1.3323128144803547,1.3285633373060062
